tournament_id,match_id,created_at,map_name,duration,winner,telemetry
as-pcs2as,c3f11825-911b-43fd-978b-0fc123987aa4,2020-08-27 12:54:22,Erangel (Remastered),1700,iFTY,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/08/27/13/24/a8182d78-e868-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,de2b5b3d-ddc6-4ea9-ab5c-3e85cbd25544,2020-08-27 12:01:24,Erangel (Remastered),1797,ENT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/08/27/12/33/7b6fa89e-e861-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,5452fa6a-c5e7-4289-94dc-713c900887a1,2020-09-09 11:24:19,Erangel (Remastered),1569,LVG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/09/11/52/eccf4325-f292-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,80ab77f1-e788-4e10-abf7-ba03e9e5ad01,2020-09-09 10:45:28,Miramar,1578,TSG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/09/11/13/84e1d240-f28d-11ea-96f9-ae2007969334-telemetry.json
as-pcs2as,f868c961-dc9f-4791-b62c-f8f82819a9d8,2020-08-27 11:07:34,Miramar,1757,Tian,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/08/27/11/38/df0ec98b-e859-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,c94c35c2-db72-411b-8581-007b1662a27c,2020-09-26 11:01:03,Miramar,1661,GEN,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/26/11/30/b539080d-ffeb-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,1d60c71c-f2ad-47f9-8ba7-dc74d675e32f,2020-09-10 09:37:54,Erangel (Remastered),1810,AFS,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/10/10/ca15913a-f34d-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,8e177075-3f14-4dd7-82c9-1a3c9a4999d9,2020-09-18 11:10:57,Erangel (Remastered),1807,ENT,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/18/11/43/1ab2011d-f9a4-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,5a368d90-e3d9-4213-9eda-5ee6987a69ce,2020-09-10 11:08:01,Miramar,1764,AZG,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/11/39/45306a44-f35a-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,8f64319d-f8e3-4df5-a052-1092d2d094cf,2020-09-10 08:57:06,Erangel (Remastered),1888,GE,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/10/09/30/45378d8a-f348-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,8a2abfc5-b07b-4058-9c0b-9eb0a7384001,2020-09-11 09:03:09,Miramar,1823,FPC,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/11/09/35/20e3ff76-f412-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,25897081-2b38-4d76-b415-0210e2fd44db,2020-10-10 11:23:06,Erangel (Remastered),1634,GRF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/10/11/52/0afd5ade-0aef-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,4330b857-76d6-44a8-a101-6b0cc27bbe3c,2020-10-09 10:32:08,Erangel (Remastered),1858,GRF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/09/11/05/470865a3-0a1f-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,d0db6332-5179-4525-88b1-b74da0bbb526,2020-10-09 09:42:07,Miramar,1847,GRF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/10/09/10/14/444dd87d-0a18-11eb-8c1f-da65634283a2-telemetry.json
as-pcs3kr,96b36def-6522-4da9-9189-869545fb8ba5,2020-09-26 10:20:44,Miramar,1551,GEN,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/26/10/48/d21971f1-ffe5-11ea-96f9-ae2007969334-telemetry.json
as-pcs3kr,8b2e6489-fe76-4fd7-ad3b-6e30e3003e22,2020-09-25 11:10:57,Miramar,1835,AF,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2020/09/25/11/43/54e52e9c-ff24-11ea-96f9-ae2007969334-telemetry.json
